Source,Bias,Quality,Url
ABC News,-1.846,49.8665,abcnews.go.com
Al Jazeera,-3.705333333,46.7,www.aljazeera.com
Alternet,-19.15625,26.385,www.alternet.org
American Spectator,21.76777778,23.48111111,spectator.org
AP,-1.06326087,52.18913043,apnews.com
Axios,-5.737857143,47.30357143,www.axios.com
BBC News,-3.033333333,46.26666667,www.bbc.com
Bipartisan Report,-23.55066667,21.92866667,bipartisanreport.com
Bloomberg,-0.850344828,47.52275862,www.bloomberg.com
Breitbart,18.98785714,30.63714286,www.breitbart.com
Business Insider,-0.378,43.28333333,www.businessinsider.com
BuzzFeed,-7.061333333,43.16733333,www.buzzfeed.com
CBS,-1.846153846,46.83923077,www.cbs.com
Christian Science Monitor,-0.205294118,44.26529412,www.csmonitor.com
CNN,-8.553827161,40.48771605,www.cnn.com
CNSNews,25.75,27.75,www.cnsnews.com
Conservative Review,23.491,24.816,www.conservativereview.com
Conservative Tribune,17.21769231,35.40769231,www.conservativereview.com
Counterpunch,-15.84222222,31.14888889,www.counterpunch.org
Crooks and Liars,-21.266,26.2,crooksandliars.com
Daily Beast,-12.03923077,38.80076923,www.thedailybeast.com
Daily Caller,20.06133333,28.8,dailycaller.com
Daily Kos,-21.48666667,26.33333333,www.dailykos.com
Daily Mail,3.267857143,34.74428571,www.dailymail.co.uk
Daily Signal,19.97266667,30.41066667,www.dailysignal.com
Daily Wire,16.34933333,28.98866667,www.dailywire.com
Democracy Now,-16.71066667,37.544,www.democracynow.org
EPI,-2,49,www.epi.org
Financial Times,0.621538462,47.46769231,www.ft.com
Fiscal Times,1.522,44.54466667,www.thefiscaltimes.com/
Forbes,0.202857143,39.845,www.forbes.com
Foreign Policy,-1.649333333,41.692,foreignpolicy.com
Fortune,0.429285714,45.095,fortune.com
Forward,-5.6875,37.125,forward.com
Fox News,18.49882629,30.07647887,www.foxnews.com
FreeSpeech TV,-18.742,29.95,freespeech.org
Guacamoley,-9.888666667,22.69466667,guacamoley.com
Huffpost.com,-11.63933333,40.17266667,www.huffpost.com
IJR,6.725,44.308,ijr.com
InfoWars,24.68866667,21.70533333,www.infowars.com
Intercept,-15.522,37.58866667,theintercept.com
Jacobin,-19.91666667,34.80533333,jacobinmag.com
LA Times,-3.063103448,49.08655172,www.latimes.com
Life News,23.175,26.725,www.lifenews.com
Marketwatch,-0.542142857,45.10785714,www.marketwatch.com
Mother Jones,-13.91733333,40.32466667,www.motherjones.com
MSNBC,-10.88287037,41.21412037,www.msnbc.com
National Enquirer,5.406,17.50533333,www.nationalenquirer.com
National Review,16.23357143,30.94857143,www.nationalreview.com
New Republic,-12.82533333,36.03,newrepublic.com
New York Post,5.154285714,42.41642857,nypost.com
News and Guts,-9.838666667,37.28866667,www.newsandguts.com
NewsMax,9.940714286,36.02357143,www.newsmax.com
NewsPunch,24.274,18.13933333,newspunch.com
Newsy,-3.025,49.1,www.newsy.com
Npr.org,-2.733333333,50.21666667,www.npr.org
Occupy Democrats,-22.84571429,24.37,occupydemocrats.com
One America News Network,11.259,35.884,www.oann.com
OZY,-5.431875,40.8025,www.ozy.com
Palmer Report,-27.241875,17.65125,www.palmerreport.com
Patribotics,-18.78,19.57545455,patribotics.blog
PBS,-2.370555556,47.78666667,www.pbs.org
PJ Media,14.156,30.68933333,pjmedia.com
Politico,-5.238666667,46.45,www.politico.com
Progressive,-17.475,38.675,progressive.org
ProPublica,-5.932666667,48.14466667,www.propublica.org
Quartz,-3.894666667,41.26133333,qz.com
Reason,4.12,38.282,reason.com
RedState,24.26785714,22.60142857,www.redstate.com
Reuters,-0.949777778,51.78511111,www.reuters.com
Second Nexus,-18.76666667,28.17266667,secondnexus.com
ShareBlue,-22.628,25.68933333,americanindependent.com
Slate,-14.92857143,34.19714286,slate.com
Spoutable,15.5,14,spoutable.com
Talking Points Memo,-5.672,42.244,talkingpointsmemo.com
The Advocate,-17.95538462,37.35307692,www.theadvocate.com
The American Conservative,10.81571429,30.69071429,www.theamericanconservative.com
The Atlantic,-6.410714286,40.58928571,www.theatlantic.com
The Blaze,15.7,32.756,www.theblaze.com
The Economist,-2.434285714,42.185,www.economist.com
The Federalist,21.85714286,26.41714286,thefederalist.com
The Gateway Pundit,25.859375,18.765625,www.thegatewaypundit.com
The Guardian,-6.45,47.86133333,www.theguardian.com
The Hill,0.088666667,46.256,thehill.com
The Nation,-16.89153846,33.54461538,www.thenation.com
The New Yorker,-6.9,41.828,www.newyorker.com
The New York Times,-4.011904762,47.542,www.nytimes.com
The Skimm,-3.309285714,41.73214286,www.theskimm.com
The Week,-8.309,33.978,theweek.com
Think Progress,-19.116,35.85,archive.thinkprogress.org
Time,-4.346666667,42.5,time.com
Truthout,-21.435,28.77357143,truthout.org
Twitchy,18.520625,18.625,twitchy.com
UrNews24,-1.6,28.55,www.urnews24.com
USA Today,-2.033333333,46.11666667,www.usatoday.com
Vanity Fair,-14.75,35.22461538,www.vanityfair.com
Vice,-10.71666667,41.71666667,www.vice.com
Vox,-8.75,42.32714286,www.vox.com
Wall Street Journal,1.894222222,48.52022222,www.wsj.com
Washington Examiner,12.16625,35.485,www.washingtonexaminer.com
Washington Free Beacon,16.708125,36.1875,freebeacon.com
Washington Monthly,-14.68333333,30.178,washingtonmonthly.com
Washington Post,-4.17988764,44.56730337,www.washingtonpost.com
Washington Times,12.96666667,37.228,www.washingtontimes.com
Weather.com,-2.434,51.3,weather.com
Wonkette,-27.71615385,17.33692308,www.wonkette.com
World Truth TV,8.480769231,15.26230769,worldtruth.tv
WorldNetDaily,18.32,24.924,www.wnd.com
Yahoo.com,-2.311904762,48.642,www.yahoo.com
